195,102,1182,27,-1
38,207,1408,25,-1
189,386,1409,28,-1
124,170,1478,27,-1
125,270,1479,33,-1
0,196,1363,6,-1
165,263,1322,24,-1
213,176,1515,25,-1
147,278,1387,19,-1
104,233,1433,28,-1
121,281,1480,30,-1
131,261,1394,23,-1
76,197,1353,25,-1
198,199,1473,14,-1
70,207,1240,16,-1
239,142,1408,20,-1
117,134,1414,31,-1
66,270,1454,31,-1
42,194,1567,20,-1
222,288,1543,35,-1
158,268,1530,30,-1
107,222,1519,31,-1
122,223,1425,35,-1
81,125,1455,24,-1
144,269,1507,23,-1
216,362,1215,26,-1
230,202,1542,32,-1
102,412,1479,34,-1
245,221,1585,25,-1
387,182,1487,36,-1
317,233,1579,23,-1
138,205,1513,33,-1
9,274,1505,18,-1
127,224,1506,25,-1
93,166,1526,38,-1
255,206,1503,29,-1
36,225,1435,29,-1
103,101,1521,31,-1
170,152,1554,37,-1
85,216,1529,36,-1
363,271,1619,28,-1
162,68,1579,28,-1
71,152,1582,34,-1
407,101,1635,27,-1
143,246,1531,5,-1
292,4,1583,31,-1
174,45,1567,11,-1
291,191,1569,20,-1
118,222,1682,37,-1
225,364,1678,38,-1
101,235,1614,25,-1
115,183,1618,39,-1
129,351,1719,36,-1
46,161,1507,,-1
217,296,1706,14,-1
0,322,1748,13,-1
431,182,1633,17,-1
452,377,1700,23,-1
357,249,1785,26,-1
603,186,1602,21,-1
53,392,1719,16,-1
186,333,1650,20,-1
438,299,1626,18,-1
402,262,1673,17,-1
519,130,1453,,-1
406,328,1573,25,-1
54,181,1650,13,-1
336,226,1641,26,-1
666,160,1618,1,-1
475,232,1610,15,-1
0,307,1572,15,-1
41,226,1634,15,-1
5,225,1649,20,-1
78,179,1630,20,-1
72,68,1505,15,-1
18,151,1411,20,-1
28,108,1543,9,-1
31,246,1597,17,-1
63,123,1508,14,-1
39,96,1540,11,-1
0,202,1596,8,-1
47,19,1556,10,-1
43,153,1531,16,-1
53,190,1548,16,-1
58,84,1471,8,-1
0,230,1525,9,-1
43,93,1477,,-1
63,107,1450,9,-1
97,102,1543,11,-1
19,256,1303,17,-1
728,65,1480,18,-1
809,96,1554,3,-1
739,130,1526,28,-1
698,147,1571,23,-1
711,140,1504,3,-1
685,102,1478,12,-1
801,94,1615,26,-1
583,174,1602,7,-1
691,127,1595,18,-1
716,157,1543,27,-1
683,231,1358,11,-1
818,146,1559,22,-1
738,285,287,10,-1
714,238,289,17,-1
729,324,626,24,-1
707,372,1683,20,-1
516,423,389,24,-1
741,404,989,19,-1
769,384,1462,29,-1
874,219,234,23,-1
680,259,1281,8,-1
777,299,1565,8,-1
742,297,1584,24,-1
823,513,1553,17,-1
333,280,1245,26,-1
899,182,336,4,-1
1001,172,705,25,-1
760,434,1547,20,-1
705,226,1617,24,-1
719,334,1559,1,-1
767,427,1660,36,-1
522,290,1659,33,-1
750,402,1609,12,-1
774,357,1665,24,-1
749,360,1677,27,-1
375,391,1688,23,-1
745,192,1634,28,-1
779,415,1634,22,-1
712,329,381,40,-1
788,369,749,15,-1
697,346,356,8,-1
662,288,383,17,-1
818,342,322,23,-1
830,381,414,19,-1
721,292,350,28,-1
635,413,305,29,-1
432,336,358,19,-1
212,325,317,17,-1
296,383,368,12,-1
751,458,347,20,-1
650,383,280,13,-1
705,327,374,23,-1
636,273,428,33,-1
664,293,363,8,-1
746,381,253,9,-1
762,429,372,29,-1
725,348,408,27,-1
664,329,280,16,-1
788,449,378,30,-1
773,396,342,24,-1
679,367,245,4,-1
764,328,362,28,-1
755,459,1484,29,-1
669,225,1514,27,-1
805,319,1162,23,-1
870,514,530,9,-1
672,394,320,33,-1
725,367,361,36,-1
573,468,352,27,-1
676,391,403,29,-1
166,369,346,29,-1
681,348,244,21,-1
820,396,303,24,-1
504,383,431,21,-1
690,389,278,32,-1
741,397,319,20,-1
708,260,326,31,-1
767,369,361,33,-1
666,467,385,31,-1
792,467,397,40,-1
760,551,413,40,-1
415,371,1390,27,-1
745,275,1557,18,-1
742,391,350,28,-1
792,376,1758,33,-1
675,355,1561,19,-1
673,397,1722,39,-1
742,384,1714,19,-1
717,409,402,25,-1
715,397,1055,41,-1
710,450,1583,23,-1
743,324,1684,27,-1
343,308,1283,25,-1
216,398,1767,25,-1
213,416,1771,27,-1
191,480,1751,44,-1
211,372,1632,34,-1
114,406,1733,41,-1
687,411,1748,16,-1
742,483,1751,35,-1
370,474,1838,39,-1
813,380,1750,29,-1
854,404,1536,32,-1
805,334,1840,32,-1
717,388,1631,36,-1
752,490,1777,35,-1
755,429,1765,35,-1
655,360,1765,18,-1
759,363,1764,30,-1
823,462,1824,41,-1
655,335,1755,40,-1
822,424,1882,44,-1
670,438,1801,34,-1
657,348,1574,37,-1
785,289,1714,10,-1
800,460,1791,31,-1
736,439,1720,42,-1
817,267,1709,24,-1
823,211,1654,13,-1
781,331,1718,45,-1
754,391,1856,46,-1
777,285,1869,39,-1
860,381,1785,41,-1
765,304,1681,16,-1
854,309,1726,38,-1
765,394,1651,38,-1
848,402,1825,37,-1
766,450,1721,39,-1
861,282,1819,32,-1
872,417,1707,26,-1
682,335,1758,42,-1
803,473,1813,42,-1
672,445,1789,35,-1
737,325,1782,28,-1
798,358,1792,41,-1
715,338,1654,21,-1
740,320,1716,36,-1
911,270,1719,14,-1
779,305,1687,29,-1
773,328,1771,35,-1
694,348,1723,8,-1
754,384,1738,38,-1
635,353,1753,35,-1
863,236,1813,9,-1
791,365,1691,41,-1
759,466,1697,26,-1
723,370,1656,31,-1
812,496,1699,35,-1
741,409,1745,37,-1
714,360,1621,37,-1
872,366,1662,28,-1
