27185,5293,4734,1465,3
25740,4848,4657,1654,3
26285,4782,4483,1731,3
27737,5337,4887,1498,3
63115,3981,3808,1123,3
59856,4797,3764,1520,3
31625,5154,3384,1671,3
28792,5179,2853,1770,3
25305,4343,2921,1801,3
27603,4554,2634,1908,3
25552,4525,3725,2028,3
33464,4250,4010,1970,3
40558,4074,3466,972,3
84454,2594,2286,383,3
54640,2855,2243,368,3
92492,3610,2425,364,3
53493,4207,2394,367,3
56113,4946,2439,331,3
81579,3537,2068,493,3
56551,4525,2195,788,3
48292,4740,2250,1429,3
27140,4665,2954,1355,3
29168,3759,3217,1227,3
33541,4392,2948,1276,3
33194,3868,3038,1078,3
37347,3608,4435,453,3
54541,2937,5089,397,3
48866,3262,5508,392,3
43408,3638,5966,403,3
43601,3990,7325,421,3
38953,3769,9360,756,3
33062,3679,11395,920,3
28876,3480,11842,1081,3
25052,3816,13594,1103,3
23078,4543,14314,1103,3
21392,4969,16695,932,3
19777,5492,17415,975,3
58154,4383,8498,1045,3
54429,5008,8449,1866,3
24894,4248,9555,2016,3
26974,4425,18594,763,3
27361,3903,21884,1004,3
22014,4794,24255,835,3
19831,6013,20912,840,3
57003,4217,8821,711,3
59771,4939,7522,1007,3
30110,5095,8003,1561,3
23992,5246,8862,2623,3
22349,4735,16165,2253,3
19735,4018,27415,1262,3
19984,5741,21995,1112,3
55833,4319,8898,988,3
48066,4470,8795,1670,3
22965,3996,9304,2131,3
23324,4034,13845,2483,3
21482,3446,29799,1318,3
57777,3265,9696,970,3
58003,1145,6355,811,3
38763,1110,4592,832,3
55374,955,3245,901,3
46171,1156,2811,861,3
44186,1752,3153,1016,3
37485,2663,3980,1445,3
28188,4063,5878,2035,3
27540,3733,7863,2085,3
22010,4304,9389,1880,3
20097,4916,10252,1775,3
18836,5018,10486,1520,3
18530,5072,11652,1659,3
19302,5663,12553,1389,3
19768,4918,14176,1528,3
57441,3860,7357,1324,3
53387,4212,6825,2468,3
22078,4757,7315,2610,3
20858,4764,10304,2288,3
20356,4341,14430,1138,3
21944,4731,11058,1507,3
25194,4827,8064,906,3
29985,5330,5885,560,3
31702,5288,5005,518,3
35667,5372,4958,451,3
35404,5623,4053,438,3
39161,5442,5770,426,3
38360,5338,7500,439,3
34463,4964,10186,597,3
29049,4395,10018,670,3
27731,4387,9309,1168,3
27693,4128,9699,1068,3
27841,4027,9339,999,3
32278,4151,8586,880,3
33921,4075,8357,712,3
39000,4230,8536,598,3
37579,4880,9220,387,3
35989,5230,7605,350,3
23905,3533,24628,309,3
719,4294,4368,301,3
793,4147,5359,305,3
820,3558,18968,306,3
748,3752,7036,350,3
0,4376,13772,322,3
243,4479,4060,321,3
0,4910,27567,332,3
5,3057,32513,317,3
45,3073,12697,338,3
63,3354,23750,298,3
172,3164,16078,291,3
207,4714,21154,303,3
0,3870,38435,326,3
60,4635,34282,297,3
132,5046,5423,360,3
20,5746,17591,317,3
283,5588,4335,345,3
29,5215,27640,360,3
138,5379,29257,314,3
194,5347,7645,479,3
204,6253,15068,461,3
7983,5524,7305,783,3
37000,5388,7607,947,3
35831,4823,8295,889,3
26001,4785,8450,526,3
32062,2174,8918,1284,3
27057,0,9015,589,3
35503,4404,8795,542,3
31550,3310,8783,536,3
33840,3343,8659,1140,3
21834,3742,8405,804,3
25581,880,7025,522,3
28719,26,3403,360,3
26017,0,3061,366,3
178,2572,16070,365,3
3682,187,4418,613,3
7793,3483,4162,627,3
35597,4974,6450,1245,3
26780,5186,7739,779,3
31831,5024,7623,3757,3
16881,4444,12787,3516,3
15373,4326,28407,1929,3
33455,6056,6159,1165,3
44159,4240,2025,599,3
35124,3502,1766,457,3
148,5149,2578,933,3
196,4423,1518,796,3
203,4378,2498,576,3
379,5151,3676,369,3
5909,3309,3196,518,3
15812,4766,3323,846,3
19818,5155,4967,748,3
30733,4961,6888,4149,3
16439,4660,22701,2795,3
16586,4972,19755,1271,3
51882,778,8298,1048,3
50364,2757,7939,1526,3
26229,3633,8192,1899,3
20648,3666,9001,3897,3
17147,2887,26706,2057,3
15549,2956,24759,1425,3
53012,2563,8374,1219,3
47355,2523,8596,1989,3
19913,2540,8609,2990,3
17539,263,8673,3350,3
17547,155,18991,2470,3
17275,0,33133,1013,3
14833,238,29450,853,3
16648,2849,24331,1154,3
51655,2460,10319,1313,3
43037,2427,9155,3175,3
17644,2313,8775,4287,3
16020,2281,28945,1782,3
55398,2359,8763,1348,3
44626,2287,8258,2434,3
19714,2076,7186,756,3
28440,2131,6658,552,3
36359,2607,7444,568,3
32409,3229,7436,801,3
29353,3755,7307,1028,3
24523,3886,7663,1535,3
20600,4319,7933,2592,3
17896,4694,10021,4075,3
15421,4465,34295,1701,3
53773,4498,9285,1258,3
39909,3711,8749,1050,3
